Rank,Movie,Release Date,Distributor,Genre,2020 Gross,Tickets Sold,id,titleType,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
1,Bad Boys For Life,2020-01-17T00:00:00Z,Sony Pictures,Action,204417855,22292023,NA,NA,NA,NA,NA,NA,NA,NA
2,1917,2019-12-25T00:00:00Z,Universal,Thriller/Suspense,157901466,17219352,tt0065362,short,1917,0,1970,\N,34,"Short,War"
3,Sonic The Hedgehog,2020-02-14T00:00:00Z,Paramount Pictures,Adventure,146066470,15928731,tt11799124,tvEpisode,Sonic The Hedgehog,0,2020,\N,\N,Comedy
4,Jumanji: The Next Level,2019-12-13T00:00:00Z,Sony Pictures,Adventure,124736710,13602694,tt11443076,tvEpisode,Jumanji: The Next Level,0,2019,\N,27,"Comedy,Talk-Show"
5,Star Wars: The Rise of Skyw…,2019-12-20T00:00:00Z,Walt Disney,Adventure,124496308,13576478,NA,NA,NA,NA,NA,NA,NA,NA
6,Birds of Prey (And the Fant…,2020-02-07T00:00:00Z,Warner Bros.,Action,84158461,9177585,NA,NA,NA,NA,NA,NA,NA,NA
7,Dolittle,2020-01-17T00:00:00Z,Universal,Adventure,77047065,8402079,tt11625976,tvEpisode,Dolittle,0,2020,\N,\N,Comedy
8,The Invisible Man,2020-02-28T00:00:00Z,Universal,Horror,64914050,7078958,tt0024184,movie,The Invisible Man,0,1933,\N,71,"Horror,Sci-Fi"
9,The Call of the Wild,2020-02-21T00:00:00Z,20th Century Studios,Adventure,62342368,6798513,tt0000654,short,The Call of the Wild,0,1908,\N,16,"Action,Short"
10,Onward,2020-03-06T00:00:00Z,Walt Disney,Adventure,61555145,6712665,tt11749214,short,Onward,0,2020,\N,12,Short
11,Tenet,2020-09-03T00:00:00Z,Warner Bros.,Action,58044165,6329788,tt6723592,movie,Tenet,0,2020,\N,150,"Action,Sci-Fi"
12,Halloween,1978-10-17T00:00:00Z,Compass Internati…,Horror,47274000,5155288,tt0077651,movie,Halloween,0,1978,\N,91,"Horror,Thriller"
13,Little Women,2019-12-25T00:00:00Z,Sony Pictures,Drama,37593127,4099577,tt0009309,movie,Little Women,0,1918,\N,60,"Drama,Family,Romance"
14,The Gentlemen,2020-01-24T00:00:00Z,STX Entertainment,Action,36471796,3977295,tt0059265,movie,Die Herren,0,1965,\N,110,"Comedy,Drama"
15,Just Mercy,2020-01-10T00:00:00Z,Warner Bros.,Drama,35733621,3896796,tt11469086,tvEpisode,Just Mercy,0,2019,\N,\N,Talk-Show
16,Knives Out,2019-11-27T00:00:00Z,Lionsgate,Drama,35244610,3843468,tt11321474,tvEpisode,Knives Out,0,2019,\N,\N,Talk-Show
17,The Croods: A New Age,2020-11-25T00:00:00Z,Universal,Adventure,32334280,3526093,tt2850386,movie,The Croods: A New Age,0,2020,\N,\N,"Adventure,Animation,Comedy"
18,Parasite,2019-10-11T00:00:00Z,Neon,Black Comedy,29518856,3219068,tt0084472,movie,Parasite,0,1982,\N,85,"Horror,Sci-Fi"
19,Frozen II,2019-11-22T00:00:00Z,Walt Disney,Adventure,26934045,2937191,tt11154288,tvEpisode,Frozen II,0,2019,\N,\N,Talk-Show
20,Fantasy Island,2020-02-14T00:00:00Z,Sony Pictures,Horror,26441782,2883509,tt0077008,tvSeries,Fantasy Island,0,1977,1984,60,"Adventure,Comedy,Drama"
21,The New Mutants,2020-08-28T00:00:00Z,20th Century Studios,Horror,23855569,2601479,tt12967636,tvEpisode,The New Mutants,0,2020,\N,\N,Talk-Show
22,Wonder Woman 1984,2020-12-25T00:00:00Z,Warner Bros.,Action,23009311,2509194,tt7126948,movie,Wonder Woman 1984,0,2020,\N,\N,"Action,Adventure,Fantasy"
23,Like a Boss,2020-01-10T00:00:00Z,Paramount Pictures,Comedy,22169514,2417613,tt10502136,short,Like a Boss,0,2019,\N,\N,"Comedy,Short"
24,Unhinged,2020-08-21T00:00:00Z,Solstice Studios,Thriller/Suspense,20831465,2271697,tt0180274,movie,Unhinged,0,1982,\N,79,Horror
25,The Photograph,2020-02-14T00:00:00Z,Universal,Drama,20578185,2244076,tt0163915,tvShort,Zdjecie,0,1995,\N,32,"Documentary,Short"
26,Spies in Disguise,2019-12-25T00:00:00Z,20th Century Fox,Adventure,19714592,2149900,tt11419988,tvEpisode,Spies in Disguise,0,2019,\N,\N,Talk-Show
27,The War with Grandpa,2020-10-09T00:00:00Z,101 Studios,Comedy,18861607,2056881,tt4532038,movie,War with Grandpa,0,2020,\N,94,"Comedy,Drama,Family"
28,Underwater,2020-01-10T00:00:00Z,20th Century Fox,Thriller/Suspense,17291078,1885613,tt0649372,tvEpisode,Underwater,0,1971,\N,60,"Action,Adventure,Crime"
29,The Turning,2020-01-24T00:00:00Z,Universal,Horror,15472775,1687325,tt0105660,movie,The Turning,0,1992,\N,91,Drama
30,Gretel & Hansel,2020-01-31T00:00:00Z,United Artists,Horror,15347654,1673680,tt11707482,tvEpisode,Gretel & Hansel,0,2020,\N,23,"Comedy,Talk-Show"
31,Honest Thief,2020-10-16T00:00:00Z,Open Road,Thriller/Suspense,14163574,1544555,tt1838556,movie,Honest Thief,0,2020,\N,92,"Action,Crime,Drama"
32,The Way Back,2020-03-06T00:00:00Z,Warner Bros.,Drama,13590514,1482062,tt0006247,movie,The Way Back,0,1915,\N,\N,Crime
33,My Hero Academia: Heroes: R…,2020-02-26T00:00:00Z,FUNimation,Adventure,13553826,1478061,NA,NA,NA,NA,NA,NA,NA,NA
34,Uncut Gems,2019-12-25T00:00:00Z,A24,Thriller/Suspense,13467396,1468636,tt11533856,tvEpisode,Uncut Gems,0,2020,\N,26,"Comedy,Talk-Show"
35,Brahms: The Boy II,2020-02-21T00:00:00Z,STX Entertainment,Horror,12611536,1375303,tt11854868,tvEpisode,Brahms: The Boy II,0,2020,\N,\N,Talk-Show
36,Jojo Rabbit,2019-10-18T00:00:00Z,Fox Searchlight,Black Comedy,11791356,1285862,tt11368626,tvEpisode,Jojo Rabbit,0,2019,\N,23,"Comedy,Talk-Show"
37,Impractical Jokers: The Movie,2020-02-21T00:00:00Z,truTV,Comedy,10466091,1141340,tt9208444,movie,Impractical Jokers: The Movie,0,2020,\N,92,Comedy
38,I Still Believe,2020-03-13T00:00:00Z,Lionsgate,Drama,10410004,1135223,tt2336313,short,I Still Believe,0,2012,\N,6,"Crime,Horror,Short"
39,Emma.,2020-02-21T00:00:00Z,Focus Features,Drama,10055355,1096549,tt9214832,movie,Emma.,0,2020,\N,124,"Comedy,Drama"
40,Bloodshot,2020-03-13T00:00:00Z,Sony Pictures,Action,10021787,1092888,tt11945294,tvEpisode,Bloodshot,0,2020,\N,\N,Talk-Show
41,The Grudge,2020-01-03T00:00:00Z,Sony Pictures,Horror,9812035,1070014,tt0005431,short,The Grudge,0,1915,\N,20,"Short,Western"
42,Come Play,2020-10-30T00:00:00Z,Focus Features,Horror,9505540,1036591,tt10691612,short,Come Play,0,2018,\N,\N,"Drama,Horror,Short"
43,Let Him Go,2020-11-06T00:00:00Z,Focus Features,Thriller/Suspense,9347940,1019404,tt1622506,tvEpisode,Let Him Go,0,2009,\N,\N,Horror
44,Freaky,2020-11-13T00:00:00Z,Universal,Horror,8702060,948970,tt0319424,short,Freaky,0,2002,\N,27,Short
45,Downhill,2020-02-14T00:00:00Z,Searchlight Pictures,Drama,8287061,903714,tt0223165,short,Downhill,0,1973,\N,36,"Drama,Short"
46,Weathering With You,2020-01-15T00:00:00Z,GKIDS,Drama,7798703,850458,NA,NA,NA,NA,NA,NA,NA,NA
47,Ford v. Ferrari,2019-11-15T00:00:00Z,20th Century Fox,Drama,7648018,834025,NA,NA,NA,NA,NA,NA,NA,NA
48,Cats,2019-12-20T00:00:00Z,Universal,Musical,7196675,784806,tt0173714,movie,Cats,0,1998,\N,120,Musical
49,Bombshell,2019-12-13T00:00:00Z,Lionsgate,Drama,7172836,782206,tt0023825,movie,Bombshell,0,1933,\N,96,"Comedy,Drama,Romance"
50,It's a Wonderful Life,1946-12-20T00:00:00Z,NA,Drama,6644000,724536,tt0038650,movie,It's a Wonderful Life,0,1946,\N,130,"Drama,Family,Fantasy"
51,The Hunt,2020-03-13T00:00:00Z,Universal,Thriller/Suspense,5812500,633860,tt0005526,short,The Hunt,0,1915,\N,\N,"Comedy,Short"
52,The Rhythm Section,2020-01-31T00:00:00Z,Paramount Pictures,Thriller/Suspense,5437971,593017,tt11712748,tvEpisode,The Rhythm Section,0,2020,\N,20,"Comedy,Talk-Show"
53,Monster Hunter,2020-12-18T00:00:00Z,Sony Pictures,Action,5018403,547263,tt12240392,movie,Monster Hunter,0,2019,\N,\N,Action
54,The SpongeBob Movie: Sponge…,2020-08-14T00:00:00Z,Paramount Pictures,Adventure,4810790,524622,NA,NA,NA,NA,NA,NA,NA,NA
55,Hocus Pocus,1993-07-16T00:00:00Z,Walt Disney,Comedy,4777471,520989,tt0107120,movie,Hocus Pocus,0,1993,\N,96,"Comedy,Family,Fantasy"
56,National Lampoon’s Christma…,1989-12-01T00:00:00Z,Warner Bros.,Comedy,4593728,500951,NA,NA,NA,NA,NA,NA,NA,NA
57,Richard Jewell,2019-12-13T00:00:00Z,Warner Bros.,Drama,4523325,493274,tt11177098,tvEpisode,Richard Jewell,0,2019,\N,\N,\N
58,The Broken Hearts Gallery,2020-09-11T00:00:00Z,Sony Pictures,Romantic Comedy,4066487,443455,tt2140571,movie,The Broken Hearts Gallery,0,2020,\N,108,"Comedy,Romance"
59,Infidel,2020-09-18T00:00:00Z,Cloudburst Entert…,Thriller/Suspense,4051990,441874,tt1006894,short,Infidel,0,2002,\N,9,"Drama,Short"
60,A Christmas Story,1983-11-18T00:00:00Z,MGM,Comedy,3896391,424906,tt0085334,movie,A Christmas Story,0,1983,\N,94,"Comedy,Family"
61,Portrait of a Lady on Fire,2019-12-06T00:00:00Z,Neon,Drama,3759854,410016,tt11622318,tvEpisode,Portrait of a Lady on Fire,0,2019,\N,\N,"Comedy,Talk-Show"
62,News of the World,2020-12-25T00:00:00Z,Universal,Western,3717170,405362,tt6878306,movie,News of the World,0,2020,\N,\N,"Drama,Western"
63,Bill & Ted Face the Music,2020-08-28T00:00:00Z,United Artists,Comedy,3439660,375099,tt1086064,movie,Bill & Ted Face the Music,0,2020,\N,88,"Adventure,Comedy,Music"
64,2020 Oscar Shorts,2020-01-29T00:00:00Z,ShortsHD,Multiple Genres,3304748,360386,NA,NA,NA,NA,NA,NA,NA,NA
65,Fatale,2020-12-18T00:00:00Z,Lionsgate,Thriller/Suspense,3089694,336935,tt0411384,video,Fatale,1,2003,\N,127,"Adult,Drama,Romance"
66,Queen & Slim,2019-11-27T00:00:00Z,Universal,Drama,3089365,336899,tt11343160,tvEpisode,Queen & Slim,0,2019,\N,\N,Talk-Show
67,The Empty Man,2020-10-23T00:00:00Z,20th Century Studios,Horror,2995698,326684,tt1717703,movie,The Empty Man,0,2010,\N,57,Drama
68,My Boyfriend’s Meds,2020-02-21T00:00:00Z,Lionsgate,Romantic Comedy,2971116,324003,NA,NA,NA,NA,NA,NA,NA,NA
69,The Last Full Measure,2020-01-24T00:00:00Z,Roadside Attractions,Drama,2949212,321615,tt0415927,short,The Last Full Measure,0,2004,\N,18,"Drama,Short"
70,A Beautiful Day in the Neig…,2019-11-22T00:00:00Z,Sony Pictures,Drama,2894475,315646,NA,NA,NA,NA,NA,NA,NA,NA
71,Words on Bathroom Walls,2020-08-21T00:00:00Z,Roadside Attractions,Drama,2542518,277264,tt8045906,movie,Words on Bathroom Walls,0,2020,\N,111,Drama
72,After We Collided,2020-09-11T00:00:00Z,NA,Drama,2386483,260248,tt10362466,movie,After We Collided,0,2020,\N,105,"Drama,Romance"
73,The Nightmare Before Christmas,1993-10-13T00:00:00Z,Walt Disney,Musical,2286000,249291,tt0107688,movie,The Nightmare Before Christmas,0,1993,\N,76,"Animation,Family,Fantasy"
74,The Lodge,2020-02-07T00:00:00Z,Neon,Horror,2138907,233250,tt0264272,tvSeries,The Lodge,0,1993,\N,\N,Drama
75,Half Brothers,2020-12-04T00:00:00Z,Focus Features,Comedy,2016150,219863,tt10032396,tvSeries,Half Brothers,0,\N,\N,\N,"Comedy,Drama"
76,The Personal History of Dav…,2020-08-28T00:00:00Z,Searchlight Pictures,Drama,1876298,204612,NA,NA,NA,NA,NA,NA,NA,NA
77,The Wretched,2020-05-01T00:00:00Z,IFC Midnight,Horror,1815440,197976,tt12393356,tvEpisode,The Wretched,0,2020,\N,\N,Horror
78,Joker,2019-10-04T00:00:00Z,Warner Bros.,Thriller/Suspense,1678800,183075,tt0102166,movie,Joker,0,1991,\N,108,Comedy
79,The Rental,2020-07-24T00:00:00Z,IFC Films,Thriller/Suspense,1637548,178576,tt10003008,movie,The Rental,0,2020,\N,88,"Horror,Thriller"
80,Star Wars Ep. V: The Empire…,1981-07-31T00:00:00Z,20th Century Fox,Adventure,1580209,172323,NA,NA,NA,NA,NA,NA,NA,NA
81,Once Upon a Time…in Hollywo…,2019-07-26T00:00:00Z,Sony Pictures,Thriller/Suspense,1406198,153347,NA,NA,NA,NA,NA,NA,NA,NA
82,2 Hearts,2020-10-16T00:00:00Z,Freestyle Releasing,Drama,1349284,147141,tt5616176,movie,2 Hearts,0,2020,\N,\N,"Drama,Romance"
