id,averageRating,numVotes
tt0000654,5.3,51
tt0000969,6,12
tt0001144,4.6,12
tt0002277,6.3,21
tt0005431,6.4,11
tt0009309,6.5,34
tt0015361,7.6,6875
tt0015881,8.1,8883
tt0021920,5.7,92
tt0022215,7.1,183
tt0023825,7.1,2246
tt0024184,7.7,29256
tt0025094,6.7,483
tt0026486,5.9,100
tt0027678,6.2,172
tt0028874,6.2,389
tt0030221,4.4,29
tt0032910,7.4,127503
tt0033953,6.9,26
tt0036745,6.5,856
tt0038650,8.6,387900
tt0041546,8,33760
tt0041994,6.2,1017
tt0044000,7.2,5107
tt0052232,5.2,61
tt0057729,7.9,13795
tt0058893,7.8,35
tt0059265,6.4,10
tt0061934,6.6,233
tt0062299,7.4,29
tt0062827,5.9,1922
tt0065362,5.7,23
tt0071222,7.2,31479
tt0074899,6.8,17480
tt0074916,7.6,5866
tt0077008,6.5,6599
tt0077538,6.8,651
tt0077651,7.8,222169
tt0078748,8.4,768040
tt0079010,7.7,1944
tt0081413,7.2,6
tt0083316,7.1,2919
tt0084472,3.9,2149
tt0085334,7.9,127664
tt0088445,7.3,2501
tt0089504,7,7264
tt0090851,7.4,69
tt0091251,8.3,54004
tt0095016,8.2,767262
tt0095124,6.9,124
tt0099674,7.6,350075
tt0099982,4,251
tt0100814,7.1,117229
tt0102166,4.6,704
tt0104940,7.7,46362
tt0105660,4.6,415
tt0107120,6.9,90736
tt0107688,8,285005
tt0111070,6.5,92234
tt0114709,8.3,863476
tt0116490,5.5,24
tt0118648,5.7,162
tt0123328,7.5,1956
tt0125279,6.4,261
tt0125668,7.9,38
tt0129360,2.7,167
tt0139499,4.4,303
tt0152719,7.7,16
tt0163915,7,89
tt0167255,7.6,8
tt0170016,6.2,198287
tt0173714,7.5,4633
tt0180274,5.1,1548
tt0198781,8,794148
tt0199388,6.4,126
tt0201450,7,264
tt0205731,5.5,614
tt0208993,7.1,1153
tt0209430,8.1,7
tt0219822,6.4,17173
tt0222078,3.7,40
tt0228018,4.2,22
tt0228931,7.6,79
tt0239020,6.4,647
tt0264272,8.1,18
tt0269267,7.3,16
tt0271787,8.3,7
tt0272476,7.3,9
tt0297710,8.9,177
tt0318346,6.6,92
tt0319343,6.9,211437
tt0319424,8.7,12
tt0320865,8.7,6
tt0338348,6.6,167908
tt0353313,7.9,7
tt0380098,8.6,39
tt0385424,8,11
tt0388473,7.8,29788
tt0400037,6.9,3576
tt0415927,7.1,39
tt0437086,7.3,216549
tt0478871,7.7,7
tt0492995,4.8,8
tt0529665,7,64
tt0556206,7.9,90
tt0574049,7.3,137
tt0577001,6,7
tt0594137,8,98
tt0629192,7.5,147
tt0649372,7.2,60
tt0702998,8.3,864
tt0703012,8,897
tt0738556,7,152
tt0890779,7.6,12
tt10003008,5.7,8657
tt10146728,7.3,109
tt10252330,6.8,129
tt10287376,5.7,351
tt10309552,6.7,24
tt10482504,6.6,1874
tt10621032,7,472
tt10703826,6.7,614
tt10773090,6,4550
tt10950330,5,6
tt10991278,6.2,9
tt1099942,7.8,78
tt11029976,4.5,151
tt11082738,7.1,29
tt11101466,8,36
tt11154288,8,89
tt11197874,7.1,34
tt11241490,8.7,39
tt11321474,8,19
tt11343160,8.1,15
tt11358398,7,1106
tt11380884,7.9,36
tt11394170,7.3,37
tt11469086,7.6,14
tt11525468,6.4,10
tt11533856,4.3,18
tt11622318,7.4,5
tt11945294,6.9,33
tt12240392,6.4,54
tt12348920,7.6,7
tt1458903,8.1,56
tt1657517,6.3,1753
tt1667354,7.3,2335
tt2762506,7.5,16163
tt2909124,2.9,886
tt4193072,5.7,1887
tt4669788,7,22106
tt4887002,7.4,21
tt5496628,6.7,66
tt5617312,4.3,609
tt5706370,5.8,859
tt5714470,6.9,35
tt5900822,5.1,8
tt5919756,5.7,801
tt5980638,9.2,1449
tt6010976,7.4,1060
tt6305892,6,36
tt6328242,5.3,495
tt6356220,8.7,18
tt6570382,5.4,8
tt6723592,8.2,10174
tt6780790,3.9,75
tt6782632,3.3,51
tt7016254,6.5,4398
tt7070818,5.6,42
tt7170704,7.7,77
tt7283212,6.6,54
tt7365040,5,91
tt7531096,7,951
tt7541838,1.9,242
tt7587876,6.6,1064
tt7698468,7.7,67
tt7737734,5,2098
tt7873348,7,60
tt7909444,7.4,1018
tt8045906,7.2,117
tt8058874,5.1,4763
tt8143990,5.6,171
tt8241872,7.1,885
tt8258074,7.7,1187
tt8262686,4.7,16
tt8337320,6.7,135
tt8342680,5.8,708
tt8359816,7.6,12979
tt8359822,6.4,2556
tt8574836,6.4,248
tt8586088,5.2,202
tt8647310,6.2,2482
tt8688634,6.6,36422
tt8804284,7,496
tt8901942,7.6,157
tt8929142,8.1,742
tt8963708,7.8,7391
tt9016016,6.9,1034
tt9016974,6.7,487
tt9035872,4.9,123
tt9056192,6.2,1286
tt9081558,7.3,768
tt9099136,5.4,110
tt9116358,7.2,1942
tt9208444,5.9,4038
tt9214832,6.7,19504
tt9231040,7.1,3215
tt9355194,7,388
tt9434778,6.4,67
tt9441638,4.3,510
tt9567718,7,436
tt9614440,6.6,858
tt9614460,5.1,23728
tt9620292,6.5,344
tt9647768,6.8,3952
